;Article Title;UT (Unique WOS ID)
5;The Synergistic Effect of Polymer Composition, Solvent Volatility, and Collector Distance on Pullulan and PVA Fiber Production by Rotary Jet Spinning;WOS:000624502700032
18;A novel technique to produce tubular scaffolds based on collagen and elastin;WOS:000597641000001
19;Effect of cosolvent on properties of non-woven porous neomycin-loaded poly(lactic acid)/polycaprolactone fibers;WOS:000612955400007
23;Blend-based fibers produced via centrifugal spinning and electrospinning processes: Physical and rheological properties;WOS:000589076600007
75;Fiber Forming Capability of Binary and Ternary Compositions in the Polymer System: Bacterial Cellulose-Polycaprolactone-Polylactic Acid;WOS:000480539500065
108;Developing lignin-based bio-nanofibers by centrifugal spinning technique;WOS:000432503100013
126;Osteoinductive 3D scaffolds prepared by blend centrifugal spinning for long-term delivery of osteogenic supplements;WOS:000436031800026
135;Composite Fibers from Recycled Plastics Using Melt Centrifugal Spinning;WOS:000411506700058
142;Poly(vinylidene fluoride)/poly(acrylonitrile) blend fibrous membranes by centrifugal spinning for high-performance lithium ion battery separators;WOS:000388488000022
146;Fibrous PCL/PLLA Scaffolds Obtained by Rotary Jet Spinning and Electrospinning;WOS:000430187600131
147;Fabricating Multi-Material Nanofabrics using Rotary Jet Spinning;WOS:000434647500166
162;Tailoring the surface of polymeric nanofibres generated by pressurised gyration;WOS:000388885500007
188;Polymethylmethacrylate/Polyacrylonitrile Membranes via Centrifugal Spinning as Separator in Li-Ion Batteries;WOS:000353775800003
214;Engineering hybrid polymer-protein super-aligned nanofibers via rotary jet spinning;WOS:000332188400006
225;Centrifugal spun ultrafine fibrous web as a potential drug delivery vehicle;WOS:000313109000004
235;In vitro hydrolytic degradation of centrifugally spun polyhydroxybutyrate-pectin composite fibres;WOS:000272310300013
242;Method for preparation of copper-coated carbon material;WOS:000181120300008
